strategy,strategy_label,symbol,contribution_interval,start,end,contributed_usd,invested_usd,ending_cash_usd,ending_value_usd,return_pct,deployment_pct,max_drawdown_pct,trade_count
weekly_ma_trend_dca,"weekly_ma_trend_dca(weekly_amount_usd=100,window_days=200)",ETH-USD,2d,2020-01-01,2026-04-29,115600.00,61500.00,54100.00,147729.87,27.79,53.20,64.75,615
weekly_dip_dca,"weekly_dip_dca(weekly_amount_usd=100,window_days=200)",ETH-USD,2d,2020-01-01,2026-04-29,115600.00,44100.00,71500.00,121973.04,5.51,38.15,30.69,441
weekly_ma_scaled_dca,"weekly_ma_scaled_dca(weekly_amount_usd=100,window_days=200,below_multiplier=2.0,above_multiplier=0.5)",ETH-USD,2d,2020-01-01,2026-04-29,115600.00,115600.00,0.00,249556.02,115.88,100.00,74.65,1156
weekly_drawdown_scaled_dca,"weekly_drawdown_scaled_dca(weekly_amount_usd=100,lookback_days=90,mild_drawdown_pct=0.10,deep_drawdown_pct=0.20)",ETH-USD,2d,2020-01-01,2026-04-29,115600.00,115600.00,0.00,256713.94,122.07,100.00,76.31,1156
weekly_fixed_dca,weekly_fixed_dca(weekly_amount_usd=100),ETH-USD,3d,2020-01-01,2026-04-29,77100.00,77100.00,0.00,176101.91,128.41,100.00,76.67,771
weekly_ma_trend_dca,"weekly_ma_trend_dca(weekly_amount_usd=100,window_days=20)",ETH-USD,3d,2020-01-01,2026-04-29,77100.00,39100.00,38000.00,128332.28,66.45,50.71,69.40,391
weekly_dip_dca,"weekly_dip_dca(weekly_amount_usd=100,window_days=20)",ETH-USD,3d,2020-01-01,2026-04-29,77100.00,37300.00,39800.00,114738.17,48.82,48.38,62.72,373
weekly_ma_scaled_dca,"weekly_ma_scaled_dca(weekly_amount_usd=100,window_days=20,below_multiplier=2.0,above_multiplier=0.5)",ETH-USD,3d,2020-01-01,2026-04-29,77100.00,76800.00,300.00,172216.11,123.37,99.61,76.58,771
weekly_ma_trend_dca,"weekly_ma_trend_dca(weekly_amount_usd=100,window_days=50)",ETH-USD,3d,2020-01-01,2026-04-29,77100.00,40900.00,36200.00,126867.07,64.55,53.05,69.81,409
weekly_dip_dca,"weekly_dip_dca(weekly_amount_usd=100,window_days=50)",ETH-USD,3d,2020-01-01,2026-04-29,77100.00,34500.00,42600.00,106201.39,37.74,44.75,57.18,345
weekly_ma_scaled_dca,"weekly_ma_scaled_dca(weekly_amount_usd=100,window_days=50,below_multiplier=2.0,above_multiplier=0.5)",ETH-USD,3d,2020-01-01,2026-04-29,77100.00,76600.00,500.00,161882.18,109.96,99.35,76.32,771
weekly_ma_trend_dca,"weekly_ma_trend_dca(weekly_amount_usd=100,window_days=100)",ETH-USD,3d,2020-01-01,2026-04-29,77100.00,44500.00,32600.00,125428.47,62.68,57.72,71.20,445
